periodo,tipo_exam,descripcion,link
ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario Área C Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario_trujillo_C.txt
ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario Área D Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario_trujillo_D.txt
ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área A Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_A.txt
ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área B Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_B.txt
ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área C Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_C.txt
ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área D Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_D.txt
ADMISIÓN 2021-I,EXTRAORDINARIO,Resultados Excelencia Trujillo,http://admisionunt.info/docs/padrones/20211/20211_extraordinario/20211_extraordinario_trujillo.txt
ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Trujillo Área-A,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_trujillo_A.txt
ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Trujillo Área-B,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_trujillo_B.txt
ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Trujillo Área-C y D,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_trujillo_CD.txt
ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área-A,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_valle_A.txt
ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área-B,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_valle_B.txt
ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área-C y D,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_valle_CD.txt
ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Huamachuco Área-A,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_huamachuco_A.txt
ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Huamachuco Área-B,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_huamachuco_B.txt
ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Huamachuco Área-C y D,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_huamachuco_CD.txt
ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_trujillo_ordinario_A.txt
ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_trujillo_ordinario_B.txt
ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área C y D Trujillo,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_trujillo_ordinario_CD.txt
ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área A Valle,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_valle_ordinario_A.txt
ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área B Valle,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_valle_ordinario_B.txt
