id_result,periods,test_type,details,link
37,ADMISIÓN 2020-II,CEPUNT,Resultados Cepunt Huamachuco,http://admisionunt.info/docs/padrones/20202/20202_cepunt/20202_cepunt_huama.txt
38,ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_trujillo_ordinario_A.txt
39,ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_trujillo_ordinario_B.txt
40,ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área A Valle,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_valle_ordinario_A.txt
41,ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área B Valle,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_valle_ordinario_B.txt
42,ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área A Huamachuco,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_huama_ordinario_A.txt
43,ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área B Huamachuco,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_huama_ordinario_B.txt
44,ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área A Samtiago de Chuco,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_stgo_ordinario_A.txt
45,ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Excelencia Trujillo,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_trujillo/20202_extraordinario_trujillo_excelencia.txt
46,ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Personas con Discapacidad Trujillo,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_trujillo/20202_extraordinario_trujillo_discapacidad.txt
47,ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Deportistas Calificados Trujillo,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_trujillo/20202_extraordinario_trujillo_deportista.txt
48,ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Víctimas de la Violencia Trujillo,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_trujillo/20202_extraordinario_trujillo_victimas.txt
49,ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Excelencia Valle Jequetepeque,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_sedes/20202_extraordinario_valle_excelencia.txt
50,ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Excelencia Huamachuco,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_sedes/20202_extraordinario_huama_excelencia.txt
51,ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Excelencia Santiago de Chuco,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_sedes/20202_extraordinario_stgo_excelencia.txt
52,ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Trujillo Área A,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_trujillo_A.txt
53,ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Trujillo Área B,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_trujillo_B.txt
54,ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Trujillo Área C y D,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_trujillo_CD.txt
55,ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área A,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_valle_A.txt
56,ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área B,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_valle_B.txt
57,ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área C y D,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_valle_CD.txt
58,ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Huamachuco Área A,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_huamachuco_A.txt
59,ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Huamachuco Área B,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_huamachuco_B.txt
60,ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Huamachuco Área C y D,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_huamachuco_CD.txt
61,ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario_trujillo_A.txt
62,ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario_trujillo_B.txt
63,ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario Área C Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario_trujillo_C.txt
64,ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario Área D Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario_trujillo_D.txt
65,ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área A Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_A.txt
66,ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área B Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_B.txt
67,ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área C Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_C.txt
68,ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área D Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_D.txt
69,ADMISIÓN 2021-I,EXTRAORDINARIO,Resultados Excelencia Trujillo,http://admisionunt.info/docs/padrones/20211/20211_extraordinario/20211_extraordinario_trujillo.txt
70,ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Trujillo Área-A,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_trujillo_A.txt
71,ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Trujillo Área-B,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_trujillo_B.txt
72,ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Trujillo Área-C y D,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_trujillo_CD.txt
73,ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área-A,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_valle_A.txt
74,ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área-B,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_valle_B.txt
75,ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área-C y D,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_valle_CD.txt
76,ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Huamachuco Área-A,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_huamachuco_A.txt
77,ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Huamachuco Área-B,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_huamachuco_B.txt
78,ADMISIÓN 2021-II,CEPUNT,Resultados Cepunt Huamachuco Área-C y D,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_huamachuco_CD.txt
79,ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_trujillo_ordinario_A.txt
80,ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_trujillo_ordinario_B.txt
81,ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área C y D Trujillo,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_trujillo_ordinario_CD.txt
82,ADMISIÓN 2021-II,ORDINARIO,Resultados Ordinario Área A Valle,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_valle_ordinario_A.txt
