test_type,year_period,period,mod,place,link
ordinario,2021,i,,trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario_trujillo_D.txt
ordinario,2021,i,5to secundaria,trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_A.txt
ordinario,2021,i,5to secundaria,trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_B.txt
ordinario,2021,i,5to secundaria,trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_C.txt
ordinario,2021,i,5to secundaria,trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario5to_trujillo_D.txt
extraordinario,2021,i,excelencia,trujillo,http://admisionunt.info/docs/padrones/20211/20211_extraordinario/20211_extraordinario_trujillo.txt
cepunt,2021,ii,,trujillo,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_trujillo_A.txt
cepunt,2021,ii,,trujillo,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_trujillo_B.txt
cepunt,2021,ii,,trujillo,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_trujillo_CD.txt
cepunt,2021,ii,,valle jequetepeque,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_valle_A.txt
cepunt,2021,ii,,valle jequetepeque,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_valle_B.txt
cepunt,2021,ii,,valle jequetepeque,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_valle_CD.txt
cepunt,2021,ii,,huamachuco,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_huamachuco_A.txt
cepunt,2021,ii,,huamachuco,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_huamachuco_B.txt
cepunt,2021,ii,,huamachuco,http://admisionunt.info/docs/padrones/20212/20212_cepunt/20212_cepunt_huamachuco_CD.txt
ordinario,2021,ii,,trujillo,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_trujillo_ordinario_A.txt
ordinario,2021,ii,,trujillo,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_trujillo_ordinario_B.txt
ordinario,2021,ii,,trujillo,http://admisionunt.info/docs/padrones/20212/20212_ordinario/20212_trujillo_ordinario_CD.txt
